,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
19,Last Activity_Converted to Lead,0.0,0.0,6169,2484,0.40265845355811314,3685,0.5973415464418869,0.9868891537544696,0.9329113924050633,0.056247501189784166,0.09115882563906776
20,Last Activity_Converted to Lead,1.0,1.0,298,33,0.11073825503355705,265,0.889261744966443,0.013110846245530394,0.0670886075949367,-1.6325744017598902,0.09115882563906776
21,Last Activity_Email Bounced,0.0,0.0,6228,2496,0.4007707129094412,3732,0.5992292870905588,0.9916567342073898,0.9448101265822785,0.048393030281935576,0.09077550511755506
22,Last Activity_Email Bounced,1.0,1.0,239,21,0.08786610878661087,218,0.9121338912133892,0.00834326579261025,0.05518987341772152,-1.8893247623058143,0.09077550511755506
23,Last Activity_Email Link Clicked,0.0,0.0,6279,2465,0.3925784360566969,3814,0.607421563943303,0.9793404847040127,0.9655696202531645,0.01416116307627784,0.0072286636884774935
24,Last Activity_Email Link Clicked,1.0,1.0,188,52,0.2765957446808511,136,0.723404255319149,0.020659515295987287,0.034430379746835445,-0.5107633043947729,0.0072286636884774935
25,Last Activity_Email Marked Spam,0.0,0.0,6465,2515,0.3890177880897138,3950,0.6109822119102861,0.9992054032578467,1.0,-0.0007949126014762499,6.316349634296483e-07
26,Last Activity_Email Marked Spam,1.0,1.0,2,2,1.0,0,0.0,0.0007945967421533572,0.0,0.0,6.316349634296483e-07
27,Last Activity_Email Opened,0.0,0.0,4026,1597,0.3966716343765524,2429,0.6033283656234476,0.6344854986094557,0.6149367088607595,0.03129508197269163,0.0016303073188017906
28,Last Activity_Email Opened,1.0,1.0,2441,920,0.3768947152806227,1521,0.6231052847193773,0.3655145013905443,0.3850632911392405,-0.05210175945635509,0.0016303073188017906
29,Last Activity_Email Received,0.0,0.0,6465,2515,0.3890177880897138,3950,0.6109822119102861,0.9992054032578467,1.0,-0.0007949126014762499,6.316349634296483e-07
30,Last Activity_Email Received,1.0,1.0,2,2,1.0,0,0.0,0.0007945967421533572,0.0,0.0,6.316349634296483e-07
31,Last Activity_Form Submitted on Website,0.0,0.0,6385,2496,0.3909162098668755,3889,0.6090837901331245,0.9916567342073898,0.9845569620253165,0.0071852580934226975,0.004422368729422613
32,Last Activity_Form Submitted on Website,1.0,1.0,82,21,0.25609756097560976,61,0.7439024390243902,0.00834326579261025,0.015443037974683544,-0.6157035636900365,0.004422368729422613
33,Last Activity_Had a Phone Conversation,0.0,0.0,6446,2498,0.38752714861929877,3948,0.6124728513807012,0.9924513309495431,0.999493670886076,-0.007070847107997622,0.01907777289231602
34,Last Activity_Had a Phone Conversation,1.0,1.0,21,19,0.9047619047619048,2,0.09523809523809523,0.007548669050456893,0.0005063291139240507,2.701939661366347,0.01907777289231602
35,Last Activity_Olark Chat Conversation,0.0,0.0,5800,2456,0.42344827586206896,3344,0.576551724137931,0.9757647993643226,0.8465822784810126,0.14201417782229253,0.2567337813402988
36,Last Activity_Olark Chat Conversation,1.0,1.0,667,61,0.09145427286356822,606,0.9085457271364318,0.024235200635677395,0.15341772151898733,-1.8453582591361515,0.2567337813402988
37,Last Activity_Page Visited on Website,0.0,0.0,6012,2405,0.4000332667997339,3607,0.5999667332002662,0.955502582439412,0.9131645569620254,0.04532136439617418,0.030225331359934174
38,Last Activity_Page Visited on Website,1.0,1.0,455,112,0.24615384615384617,343,0.7538461538461538,0.044497417560588004,0.08683544303797468,-0.6685837131109935,0.030225331359934174
39,Last Activity_Resubscribed to emails,0.0,0.0,6466,2516,0.3891122796164553,3950,0.6108877203835447,0.9996027016289233,1.0,-0.0003973773149847619,1.578773599462847e-07
40,Last Activity_Resubscribed to emails,1.0,1.0,1,1,1.0,0,0.0,0.0003972983710766786,0.0,0.0,1.578773599462847e-07
41,Last Activity_SMS Sent,0.0,0.0,4504,1282,0.28463587921847244,3222,0.7153641207815276,0.5093365117203019,0.8156962025316455,-0.47093306349645264,0.4442540647486377
42,Last Activity_SMS Sent,1.0,1.0,1963,1235,0.6291390728476821,728,0.3708609271523179,0.4906634882796981,0.18430379746835443,0.9791730636252433,0.4442540647486377
43,Last Activity_Unreachable,0.0,0.0,6408,2496,0.3895131086142322,3912,0.6104868913857678,0.9916567342073898,0.990379746835443,0.0012885610944619226,0.00018350873006400286
44,Last Activity_Unreachable,1.0,1.0,59,21,0.3559322033898305,38,0.6440677966101694,0.00834326579261025,0.009620253164556962,-0.14241585924311104,0.00018350873006400286
45,Last Activity_Unsubscribed,0.0,0.0,6430,2507,0.38989113530326597,3923,0.6101088646967341,0.9960270162892332,0.9931645569620253,0.002878014708592436,0.0015614198239222768
46,Last Activity_Unsubscribed,1.0,1.0,37,10,0.2702702702702703,27,0.7297297297297297,0.003972983710766786,0.006835443037974683,-0.5426039102504316,0.0015614198239222768
47,Last Activity_View in browser link Clicked,0.0,0.0,6462,2516,0.38935314144227795,3946,0.610646858557722,0.9996027016289233,0.9989873417721519,0.0006157939976220794,0.0005761382301256942
48,Last Activity_View in browser link Clicked,1.0,1.0,5,1,0.2,4,0.8,0.0003972983710766786,0.0010126582278481013,-0.935646498360039,0.0005761382301256942
49,Last Activity_Visited Booth in Tradeshow,0.0,0.0,6466,2517,0.38926693473553975,3949,0.6107330652644603,1.0,0.999746835443038,0.00025319660851803096,6.410040721974939e-08
50,Last Activity_Visited Booth in Tradeshow,1.0,1.0,1,0,0.0,1,1.0,0.0,0.00025316455696202533,0.0,6.410040721974939e-08
51,Lead Source_Direct Traffic,0.0,0.0,4690,1928,0.4110874200426439,2762,0.5889125799573561,0.7659912594358363,0.6992405063291139,0.09117600396110515,0.02283733219551439
52,Lead Source_Direct Traffic,1.0,1.0,1777,589,0.3314575126617895,1188,0.6685424873382104,0.23400874056416368,0.30075949367088606,-0.2509524535111518,0.02283733219551439
53,Lead Source_Facebook,0.0,0.0,6434,2511,0.39027043829654956,3923,0.6097295617034504,0.9976162097735399,0.9931645569620253,0.004472275707884097,0.004709411565565605
54,Lead Source_Facebook,1.0,1.0,33,6,0.18181818181818182,27,0.8181818181818182,0.0023837902264600714,0.006835443037974683,-1.0534295340164224,0.004709411565565605
55,Lead Source_Google,0.0,0.0,4465,1699,0.380515117581187,2766,0.6194848824188129,0.6750099324592769,0.7002531645569621,-0.03671452779291998,0.0029678698122715466
56,Lead Source_Google,1.0,1.0,2002,818,0.4085914085914086,1184,0.5914085914085914,0.32499006754072307,0.299746835443038,0.0808563839186476,0.0029678698122715466
57,Lead Source_Olark Chat,0.0,0.0,5227,2211,0.4229959823990817,3016,0.5770040176009184,0.8784266984505363,0.7635443037974684,0.14016131448945116,0.0925268307111829
58,Lead Source_Olark Chat,1.0,1.0,1240,306,0.2467741935483871,934,0.7532258064516129,0.12157330154946365,0.23645569620253165,-0.6652434735166102,0.0925268307111829
59,Lead Source_Organic Search,0.0,0.0,5686,2233,0.39271895884628916,3453,0.6072810411537108,0.8871672626142233,0.8741772151898735,0.014750417210017153,0.0016071071348507404
60,Lead Source_Organic Search,1.0,1.0,781,284,0.36363636363636365,497,0.6363636363636364,0.11283273738577672,0.12582278481012657,-0.10896792517557084,0.0016071071348507404
